vendor,outcome,targetShortCode,Competency (Standard Code),targetDescription,n_mastery
,,WH.9.1.A Formulate [TC],,Formulate compelling and supporting questions after evaluating primary sources for point of view and historical context.,
,,WH.9.1.B Analyze [TC],,Gather and analyze historical information to address questions from a range of primary and secondary sources containing a variety of perspectives. For example: Perspectives of historically underrepresented groups.,
,,WH.9.1.C Analyze [TC],,"Gather and analyze historical information from a range of qualitative and quantitative sources. For example: Demographic, economic, social, and political data.",
,,WH.9.1.D Construct & Defend [TC],,"Construct and defend a historical argument that evaluates interpretations by analyzing, critiquing, and synthesizing evidence from a wide range of relevant historical sources.",
,,WH.9.2.A Evaluate [TC],,"Evaluate continuity and change over the course of world history. For example: Social and political movements related to nationality, ethnicity, and gender; revolutions; the World Wars; the Cold War; independence movements/decolonization and 19th, 20th and 21st century genocides such as the Armenian Genocide; the Holocaust perpetrated by the fascist German Nazi Party (National Socialist German Workers Party) and its collaborators; the Sand Creek Massacre, Cambodian Genocide; the Union of Soviet Socialist Republics murder of Ukrainian nationals; genocides conducted by the Communist Party of China (CPC) against its political opponents during the Totalization Period, Collectivization, the Great Leap Forward, the Cultural Revolution, and Mao’s Famine; and the current genocide of the Uyghurs; as well as genocides that have taken place in Rwanda, Darfur and Bosnia.",
,,WH.9.2.B Investigate [TC],,"Investigate causes and effects of significant events from the Renaissance to the present. Including but not limited to: the Renaissance, the Protestant Reformation, the Industrial Revolution, the French, Russian, Chinese, and Latin American Revolutions, the World Wars, and the Arab Spring movement.",
,,WH.9.2.C Analyze [TC],,"Analyze the complexity of events from the Renaissance to the present. For example: Religious rifts (e.g., the Protestant Reformation, the Shiite/Sunni split in Islam), industrialization, imperialism (e.g., spheres of influence and colonialism), independence movements in Africa, the Americas, and Asia; globalization, the rise of nationalism, and domestic and international terrorism.",
,,WH.9.2.D Examine & Evaluate [TC],,"Examine and evaluate issues of unity and diversity in world history from the Renaissance to the present. For example: Migration and immigration (e.g., rapid global population growth), colonialism and the resulting changes in political geography, anti-colonial and nationalist movements, imperialism, world conferences and international agreements (e.g., Berlin Conference, United Nations, and Bandung Conference), and human rights issues.",
,,WH.9.2.E Evaluate [TC],,"Evaluate the historical development and impact of philosophical and political movements and belief systems. Including but not limited to: the Enlightenment, humanism, communism, socialism, and the development and expansion of Judaism, Christianity, Islam, Hinduism, Buddhism, Sikhism, and Taoism.",
,,WH.9.2.F Investigate [TC],,"Investigate the historical development and impact of major scientific and technological innovations. For example: The Industrial Age (e.g., the British factory system), the Space Age (e.g., Sputnik), and scientific advancements such as the printing press, vaccinations, nuclear power, and the Internet.",
,,WH.9.2.G Describe & Analyze [TC],,"Describe and analyze the historical development and impact of the arts and literature on the cultures of the world. For example: The Renaissance, Modernism, and the use of art and literature as a form of both social progress and resistance.",
,,G.9.1.A Analyze [TC],,"Analyze variations in spatial patterns of cultural and environmental characteristics at multiple scales while gathering geographic data from a variety of valid sources. For example: Maps, Geographic Information Systems (GIS), graphs, and charts.",
,,G.9.1.B Create & Interpret [TC],,Create and interpret maps to display and explain the spatial patterns of cultural and environmental characteristics using geospatial and related technologies.,
,,G.9.1.C Evaluate [TC],,"Evaluate relationships between the locations of places and regions and their political, cultural, and economic relationships using maps, satellite images, photographs, and other representations.",
,,"G.9.2.A Identify, Evaluate & Communicate [TC]",,"Identify, evaluate, and communicate strategies to respond to constraints placed on human systems by the physical environment.",
,,"G.9.2.B Analyze, Interpret & Predict [TC]",,"Analyze, interpret, and predict the influences of migration and the distribution of human populations based on reciprocal patterns. For example: Historical events, the spatial diffusion of ideas, technologies, and cultural practices.",
,,G.9.2.C Examine [TC],,"Examine patterns of distribution and arrangements of settlements and the processes of the diffusion of human activities. For example: Urban/rural, regional, and transportation patterns.",
,,G.9.2.D Explain [TC],,Explain how altering the environment has brought prosperity to some places and created environmental dilemmas for others.,
,,G.9.2.E Research & Interpret [TC],,"Research and interpret viewpoints from diverse groups. Including but not limited to: African Americans, Latinos, Asian Americans, Hawaiian/Pacific Islander, Indigenous Peoples, LGBTQ, and religious minorities’ perspectives on issues that shape policies and programs for resource use and sustainability. For example: Immigration, resource distribution, universal human rights and the UN Sustainable Development Goals.",
,,G.9.2.F Evaluate [TC],,"Evaluate the influence of long-term climate variability on human migration and settlement patterns, resource use, and land uses at local-to-global scales.",
,,G.9.3.A Explain [TC],,"Explain how the uneven distribution of resources in the world can lead to conflict, competition, or cooperation among nations, regions, and cultural groups.",
,,G.9.3.B Explain [TC],,Explain how shifts in the world’s population are connected to and dependent upon other people for both human and natural resources.,
,,G.9.3.C Explain [TC],,"Explain how migration of people and movement of goods and ideas can contribute to and enrich cultures, but also create tensions.",
,,G.9.3.D Analyze [TC],,"Analyze how culture, and cooperation and conflict influence both the division and unification of Earth. For example: International agreements, political patterns, national boundaries, and how cultural differences and conflict over land may lead to genocide.",
,,G.9.3.E Predict [TC],,"Make predictions and draw conclusions about the positive and negative global impact of cultural diffusion and assimilation. For example: Human rights, language, religion, and ethnicity.",
,,G.9.3.F Examine [TC],,"Examine geographic concepts through the lens of multiple diverse perspectives from various regions of the world and with consideration for indigenous, dominant, and marginalized populations. Including but not limited to: Indigenous Peoples in Colorado, Christians in the Middle East, the Uyghurs in China, and tribal groups in Afghanistan.",
,,H.10.1.A Formulate [TC],,Formulate compelling and supporting questions after evaluating primary sources for point of view and historical context.,
,,H.10.1.B Gather & Analyze [TC],,Gather and analyze historical information to address questions from a range of primary and secondary sources containing a variety of perspectives. For example: Perspectives of historically underrepresented groups.,
,,H.10.1.C Gather & Analyze [TC],,"Gather and analyze historical information from a range of qualitative and quantitative sources. For example: Demographic, economic, social, and political data.",
,,H.10.1.D Construct & Defend [TC],,"Construct and defend a historical argument that evaluates interpretations by analyzing, critiquing, and synthesizing evidence from a wide range of relevant historical sources.",
,,H.10.2.A Analyze [TC],,"Analyze continuity and change over the course of United States history. Including but not limited to: The expansion and limitations of rights, the balance between liberty and security, shifts in internationalist and isolationist policies, debates over the role of government, and the impacts of expansionist policies.",
,,H.10.2.B Investigate [TC],,"Investigate causes and effects of significant events throughout United States history. For example: World and national conflicts (e.g., Spanish American War, the continued conflict over Indigenous lands, and the Tulsa Massacre), urbanization and suburbanization (e.g., Great Migration and Levittown), economic cycles (e.g., The Great Depression and the 2008 Great Recession), and both popular and counterculture movements.",
